City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,Year,Month,Day,DayOfWeek,WeekOfYear,Season,City_enc,Season_enc
Lucknow,2022-09-25,11.052805474527533,20.34458595954857,11.715294441385435,30.42418980945291,20.5000706071517,45.100443878122334,0.8545894934819339,10.773135119329027,25.76271118136166,3.14816154402418,5.2317241210611165,4.207931039481366,17.55,2022,9,25,6,38,Monsoon,7,1
Chennai,2022-02-25,27.97035121808209,56.3110503712828,3.78123999705412,77.11479450209336,11.903800633284852,35.259592685549336,1.002458547041621,28.78473788825059,69.24324967804476,4.686476020619794,7.39889568841671,1.7155269373105089,47.58,2022,2,25,4,8,Winter,2,4
Mumbai,2023-01-24,34.655067869492584,52.13515462874869,26.18654128821252,2.9075819131114766,40.66042028263971,14.10078592255437,0.53268288547265,10.056717244762112,65.76026848077163,0.2777204730960875,13.530731595512343,3.146922845518118,33.45,2023,1,24,1,4,Winter,8,4
Ahmedabad,2018-09-25,21.575412070717135,42.58924679880179,4.07937133062093,1.8803269605292743,24.59506903388401,0.5952063791749693,0.1494285032084968,25.452611142899183,23.878433517632573,0.04343629014487668,21.29488245774068,2.0211770146065096,23.49,2018,9,25,1,39,Monsoon,0,1
Bengaluru,2020-11-09,18.066427473176425,26.63715907165546,8.512530643002496,27.804777280335657,120.86123855419754,14.211317193132894,0.2026290005541535,41.96178724314042,7.61220485204378,3.977416182834826,6.220922040478904,6.692865758299211,25.79,2020,11,9,0,46,Autumn,1,0
Hyderabad,2018-10-22,12.870920663329706,25.7078232861446,21.77010891757751,77.11479450209336,9.886101518144564,1.4091986606006206,0.2989045842558102,27.560286572817315,46.69840508986636,0.9102316377161662,3.4133426147428176,0.6534079512379896,33.74,2018,10,22,0,43,Monsoon,4,1
Bengaluru,2023-03-23,33.93439819663562,90.88172831317777,13.159050627519793,20.958139904254377,35.4553394195753,18.58593135680995,0.3415810175291366,6.372997400357533,18.98577422661311,6.303301241306567,3.8396770357543404,6.936496928994895,40.45,2023,3,23,3,12,Spring,1,2
Bengaluru,2019-01-18,85.06430226179262,157.8465124366483,26.831853812851612,1.5866862716020746,48.18692397770964,7.416354290905628,0.41612602160869727,18.63303459084301,31.60320942388355,2.3026468894193712,11.938517235774135,0.8787183449383078,75.21,2019,1,18,4,3,Winter,1,4
Hyderabad,2021-12-31,104.41317062213359,12.905662257405181,62.05510354743852,7.50074882018194,69.84800688381374,27.274307816132644,0.44248310980312167,11.451080722578958,5.0,1.953258522019993,8.383071442527964,1.826286849167382,63.75,2021,12,31,4,52,Winter,4,4
Chennai,2017-02-14,41.609125299689644,43.40900611523267,2.478336653306233,8.422898136221045,20.900481144442434,42.847186108096096,0.9124271164262501,23.163026199909407,34.94898806118653,4.446021662501057,6.6649382022851285,2.027313945839518,32.95,2017,2,14,1,7,Winter,2,4
Delhi,2015-02-04,37.03987348384257,91.13800499824863,24.727696655643886,12.36821787949799,46.45210493036137,8.096360632411532,1.0687188418220632,10.491835441468961,16.369048387731045,4.053893868246155,2.266171758386599,15.238310232594356,40.8,2015,2,4,2,6,Winter,3,4
Hyderabad,2021-03-03,21.4392105507381,53.366188310548544,5.236236388302248,1.3374774372024447,14.450358603071571,9.258224901960745,0.5541609947235364,15.247244087721517,14.236269548318841,3.654991477113326,20.83093702699603,4.455820149723629,24.27,2021,3,3,2,9,Spring,4,2
Pune,2023-08-19,24.50180290511729,25.038618291715746,10.70498696995747,19.2294512293847,22.87090177623341,13.379372066588127,3.5675222806487894,22.286203671151153,94.85253510877853,3.5125906072761524,15.187769211383895,7.515358840202725,35.52,2023,8,19,5,33,Summer,9,3
Lucknow,2020-05-09,54.78081672141668,39.07752201501947,0.6682966951448317,21.743095116326224,90.39142058939137,3.293487918137612,1.2082639701128497,21.483901895544587,19.82373125928396,2.1732696317416615,1.5156572573083305,4.052653798130327,36.94,2020,5,9,5,19,Spring,7,2
Ahmedabad,2019-05-05,31.720642033520676,67.45799893461039,2.9215063900543963,33.3446158372755,119.75544661120264,39.327985909391515,2.323057083826429,41.96178724314042,39.66630245325489,7.830411252818148,4.578987175691583,15.238310232594356,43.27,2019,5,5,6,18,Spring,0,2
Jaipur,2023-06-01,32.77331362892744,44.03415238620743,7.706700366582342,2.0860603152939,50.75003239515986,8.510937684407768,3.87023432907644,0.9028021463019642,34.58452415434608,6.639368932059993,7.811745505260003,0.976312764710776,28.11,2023,6,1,3,22,Summer,5,3
Chennai,2017-10-18,32.450705374924624,52.79487102189495,8.370575507576838,1.6690432910736588,18.758687670982113,2.7375896534625803,0.26713897310200974,6.36465942433089,5.0,1.1987694410773138,6.057566838597513,4.642754524607918,26.08,2017,10,18,2,42,Monsoon,2,1
Lucknow,2022-02-26,20.642199735647516,53.87074960628738,45.96891672341452,26.49059484339187,68.60478140224201,21.578464094312118,0.8375953164163438,10.773135119329027,48.23135385157584,4.8995714421452465,5.071587528583091,7.982165889843719,30.94,2022,2,26,5,8,Winter,7,4
Hyderabad,2018-02-03,31.187475649627295,37.82623362820396,27.08141597957464,65.48971377930398,1.048300729971529,3.710609500170503,1.0499617955161777,5.560815414421406,13.661171786224,6.652210299343593,12.6880255919426,4.951787753209506,32.63,2018,2,3,5,5,Winter,4,4
Pune,2019-02-09,6.5828981517823735,96.6985412257933,62.05510354743852,22.553940109151807,4.336647647727797,2.3240271253127935,0.6565306205523856,5.56138012892007,56.14523830560249,2.889007070725274,0.5604509711771394,11.362034569888067,36.36,2019,2,9,5,6,Winter,9,4
Jaipur,2016-12-03,51.370737777929385,39.085669161992506,18.27944395182648,63.06759418688159,43.31432987798468,12.412940899519363,0.01341864122970746,2.9061125600071787,24.914834633244816,2.4329502036716577,6.375428364545078,4.59031126780257,39.98,2016,12,3,5,48,Winter,5,4
Ahmedabad,2021-09-15,104.41317062213359,27.009061084784353,5.5338860497501505,49.97886272032777,13.77001654964874,16.69805996407467,2.5390019170484237,25.145802285287225,13.348803351227463,3.343189345411038,3.0405767763196057,8.756117788654574,83.03875,2021,9,15,2,37,Monsoon,0,1
Ahmedabad,2022-08-09,21.292717394052346,157.8465124366483,7.939674436925541,2.3665493813240936,120.86123855419754,12.644305571915387,0.9937523489075317,35.800761991900465,15.417904730406644,0.534011043674187,0.8841423533697744,0.9666928554403053,78.44,2022,8,9,1,32,Summer,0,3
Chennai,2019-04-29,44.65961903348411,51.70446479174397,7.708424412820827,19.76899957447474,22.912340060318858,16.028987536539763,4.234869766964656,1.2887182919929934,46.02261345349064,0.2741876833647737,6.252776347059212,1.5194901792010065,40.34,2019,4,29,0,18,Spring,2,2
Hyderabad,2015-06-11,65.44833522456882,10.0,7.905177219787691,32.162967088535005,22.440207535456803,1.8413987045958256,2.2239336347997813,2.52448541587379,27.952383070144315,5.1469009131324395,1.879799647166573,2.935551664837006,34.39,2015,6,11,3,24,Summer,4,3
Lucknow,2015-07-21,92.21955655155091,131.40989217561756,22.35371103474424,17.582717779088252,45.338027599511214,9.694470280448222,1.301286629149883,3.8903653287485582,38.62873773064721,2.555206666960887,2.987083482049371,9.53981653678886,72.67,2015,7,21,1,30,Summer,7,3
Delhi,2020-06-04,30.14205093628574,131.1143978884147,15.134861187679418,17.224444486204646,58.36639956333364,6.624593259554472,0.25192947336777893,10.669284905707071,6.032368641373947,0.39204006609397835,7.07263812013206,2.7805045424401547,48.88,2020,6,4,3,23,Summer,3,3
Lucknow,2017-09-22,31.02291293309262,75.19034801170415,9.736459392165894,16.271235734687252,25.816873848644608,45.100443878122334,1.0866254501552972,23.493667377200453,54.12237597253279,1.6151970345398206,30.49942823247772,4.937040064836101,40.85,2017,9,22,4,38,Monsoon,7,1
Lucknow,2021-05-06,41.00875418741269,84.95694908857647,3.2289728428104914,17.674408588850905,9.631985350780903,0.7634627094075311,0.4539067722179846,1.112054988674253,13.518334040768059,1.0624673794965913,11.528203747372924,2.5193460616645953,39.93,2021,5,6,3,18,Spring,7,2
Ahmedabad,2017-03-26,36.704631739143444,157.8465124366483,0.4477582493772556,72.42301896738424,59.36663385043097,5.313615832172391,0.4361753648066907,15.192560795385084,33.85266522618273,6.249817512782148,3.2797892454571658,8.192284321870485,83.03875,2017,3,26,6,12,Spring,0,2
Delhi,2016-03-31,25.115040763114408,27.82789027888306,4.939369422362031,3.276313638638408,15.447167799290897,42.674086839588306,2.653787321408206,2.426061282065663,5.0,2.1230784588066007,4.819240804740233,1.1175154937683052,18.31,2016,3,31,3,13,Spring,3,2
Delhi,2018-06-29,29.76074673918291,59.93544328828961,2.2739345094079835,9.843905223344477,7.7002466989061364,45.100443878122334,0.7186136024549343,41.96178724314042,13.571363921303384,2.5847865826341896,5.211001469041109,4.504172462160696,33.93,2018,6,29,4,26,Summer,3,3
Chennai,2017-10-13,37.14927873419476,157.8465124366483,30.783786140431395,23.13746627440094,39.94780294901182,26.136108322469276,0.8987308104259513,34.35591023393899,24.26648147520238,0.804777394538265,1.6680766988731757,4.312448907944261,77.02,2017,10,13,4,41,Monsoon,2,1
Jaipur,2021-06-01,44.230278729618085,157.8465124366483,2.386889131608732,35.94836404223656,3.7923735574175805,1.1856196039067586,2.776927348089039,41.96178724314042,11.217123163651882,4.81429973424638,1.7513248682565574,2.5812165747395714,83.03875,2021,6,1,1,22,Summer,5,3
Kolkata,2022-07-30,42.77046388393044,42.25553626026151,25.76363404275957,29.879284829316994,120.86123855419754,12.36097370547309,0.13782860729087137,1.683492433045467,74.30039980745869,7.982124151393872,1.6063214998314033,6.1060705354130285,37.68,2022,7,30,5,30,Summer,6,3
Bengaluru,2015-12-04,27.822678802807122,157.8465124366483,9.74409250870898,21.792071434954142,40.030097871070524,7.66545948844455,1.3543876262185695,10.042525750944343,37.88502001691682,4.7177901134825095,7.374421525093519,0.1444496612512274,73.95,2015,12,4,4,49,Winter,1,4
Bengaluru,2017-05-28,45.03423903891291,95.75965810646204,1.5241996834662106,21.792071434954142,120.86123855419754,24.63349002543251,1.2948917833497944,2.709283313344771,71.48276140904196,2.0368994697282923,11.214288788141374,9.210003067331346,50.77,2017,5,28,6,21,Spring,1,2
Ahmedabad,2017-12-12,26.363364060261627,155.50068682771115,33.504082343373376,24.4307694649251,16.553608673820776,0.8489399688673849,0.8306377076547304,13.757700061761769,17.61104864426449,5.407046792312246,8.933574333130215,2.138286948002546,55.32,2017,12,12,1,50,Winter,0,4
Kolkata,2017-03-02,55.34688621136276,93.58542281607521,17.332427192933896,7.250022853311595,120.86123855419754,3.2934137426734953,2.6559481216999123,3.973925932559093,5.0,0.6246128664761128,30.49942823247772,7.875727617118692,46.08,2017,3,2,3,9,Spring,6,2
Jaipur,2021-03-14,20.046322723474994,67.61381801743399,5.377507651768262,17.98283331029822,6.292465041659431,10.076512439225617,4.234869766964656,22.086347190687498,30.042319317448264,0.3611302920217676,1.3453140362049028,1.8196451824228368,33.98,2021,3,14,6,10,Spring,5,2
Kolkata,2017-02-02,35.10861541316693,157.8465124366483,45.01526189110923,35.464602067975974,1.6618391091073612,2.573353495659597,0.939174762749742,15.492477800287284,14.500297853521069,1.729930196611759,30.49942823247772,1.0406987857445178,83.03875,2017,2,2,3,5,Winter,6,4
Chennai,2021-02-13,9.034125547037107,56.3110503712828,0.9262892163519074,54.5977644701354,1.3416120065506427,17.69970131465914,0.9136145745044897,12.7156299713909,20.809199308682263,0.6009719793326325,6.286222855550068,2.4672987123790815,29.0,2021,2,13,5,6,Winter,2,4
Lucknow,2016-01-15,24.632621074449027,157.8465124366483,4.5084130437772725,77.11479450209336,25.00985053960668,25.78604816133085,1.045924772059343,26.164022906484306,40.00184069300924,0.8999140562446886,2.4671005753988373,7.981792929552145,81.91,2016,1,15,4,2,Winter,7,4
